IP地址,端口,TLS,数据中心,地区,国家代码,国家,城市,网络延迟 (ms),下载速度 (MB)
52.79.229.156,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,11.80
54.180.137.55,25565,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.80
43.201.57.57,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.79
3.35.3.202,29015,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,11.78
3.34.126.26,53413,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,11.77
43.202.114.221,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.77
43.202.114.221,49156,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.76
3.35.51.140,28315,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.75
52.79.207.93,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.75
13.124.84.93,14265,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.75
43.203.114.196,16992,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.74
3.34.126.26,29051,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.74
13.125.224.248,18246,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.74
15.164.238.229,19999,TRUE,ICN,亚太地区,KR,韩国,首尔,80 ms,11.74
13.209.99.217,13722,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.73
3.36.130.63,13579,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.73
3.38.176.64,20002,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.73
54.180.108.160,34599,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.72
13.125.227.81,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.72
52.79.121.250,50576,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.71
43.201.62.108,34567,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.71
3.37.46.39,49165,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,11.70
3.35.3.202,33976,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.69
43.203.114.196,18086,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.69
13.124.84.93,52869,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.69
3.36.130.63,32400,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.69
3.34.198.153,34567,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.68
3.36.127.156,33848,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.68
52.79.229.156,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.68
43.201.62.108,49666,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.68
43.201.49.137,26214,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.67
3.38.181.156,49157,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.67
43.202.164.137,16000,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,11.67
43.201.49.137,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.67
3.36.127.156,12300,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.66
3.34.196.196,11267,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.66
43.201.86.93,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.66
3.38.176.64,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.66
43.201.86.93,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.66
3.38.181.156,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.64
43.201.59.193,32770,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.64
3.34.126.26,33848,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.63
52.79.174.108,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.62
43.201.59.193,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.62
3.38.174.91,49157,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.62
52.79.174.108,18000,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.62
3.39.117.219,49664,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.61
52.79.207.93,33890,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.61
3.38.181.156,34859,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.60
3.39.117.219,19888,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.60
3.36.122.226,27016,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.59
3.37.46.39,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.59
52.78.247.14,45554,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.59
3.34.205.157,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.59
43.201.86.93,32414,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,11.58
13.125.169.28,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,11.58
3.34.126.26,22335,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.58
43.203.114.196,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.57
3.35.51.140,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.57
3.36.44.26,19150,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.57
13.209.99.217,19888,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.56
13.125.227.81,16992,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.55
43.200.164.74,16000,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.55
43.201.86.93,44158,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.54
52.79.174.108,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.53
52.79.80.227,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.53
15.165.10.82,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,11.53
3.34.198.185,44158,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.53
43.201.59.193,32771,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.52
54.180.108.160,45554,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.52
3.35.3.202,18000,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.51
13.125.224.248,44818,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.50
43.201.86.93,14534,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.50
43.201.86.93,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.49
15.165.10.82,11965,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.48
3.38.176.64,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.47
43.201.57.57,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.47
13.124.84.93,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.47
15.165.10.82,20002,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.46
3.36.122.226,32400,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.46
43.202.45.221,31337,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.45
3.37.46.39,25565,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.45
3.34.196.196,28017,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,11.43
43.203.102.226,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,11.42
3.36.130.63,16992,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.41
3.37.46.39,50111,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.40
52.79.121.250,49156,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.40
15.164.238.229,14443,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.40
52.78.247.14,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.39
13.125.224.248,49167,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.38
3.35.51.140,52025,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.38
43.201.62.108,11030,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.38
52.78.247.14,33377,TRUE,ICN,亚太地区,KR,韩国,首尔,79 ms,11.38
3.36.130.63,17000,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.36
15.164.238.229,50368,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.36
52.79.80.227,14147,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.36
13.125.224.248,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.35
52.78.247.14,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.34
43.201.59.193,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.33
52.79.80.227,12203,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.32
3.38.181.156,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.31
43.201.49.137,31337,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.31
43.200.6.124,18086,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.31
54.180.108.160,27016,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.30
52.78.42.159,45554,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.29
3.36.127.156,49670,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.29
43.201.57.57,14443,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.28
54.180.137.55,50070,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.28
13.125.169.28,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.28
