IP地址,端口,TLS,数据中心,地区,国家代码,国家,城市,网络延迟 (ms),下载速度 (MB)
54.180.245.21,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,108 ms,10.34
3.34.198.153,29999,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,10.29
43.203.226.238,28080,TRUE,ICN,亚太地区,KR,韩国,首尔,104 ms,10.27
13.124.153.247,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,10.27
3.39.117.219,32400,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.25
13.125.97.50,32770,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.25
54.180.108.160,50050,TRUE,ICN,亚太地区,KR,韩国,首尔,106 ms,10.24
3.39.117.219,44158,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.22
3.34.205.157,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.19
43.202.164.137,34599,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,10.16
13.124.84.93,40001,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,10.15
3.34.196.196,14000,TRUE,ICN,亚太地区,KR,韩国,首尔,106 ms,10.14
43.203.221.104,52869,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.13
3.36.127.156,45554,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.11
3.34.198.185,25010,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,10.10
3.36.130.63,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,10.10
43.203.114.196,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,80 ms,10.08
13.209.99.217,16992,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,10.06
3.38.176.64,16000,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.06
43.201.59.193,49160,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,10.04
13.125.224.248,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,10.04
43.200.6.124,11300,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,10.04
52.79.80.227,49161,TRUE,ICN,亚太地区,KR,韩国,首尔,102 ms,10.02
43.202.114.221,50075,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.00
54.180.245.21,39355,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.96
3.34.126.26,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.92
3.36.127.156,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.90
43.203.102.226,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,9.89
43.201.62.108,13666,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.88
52.79.174.108,19679,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.87
43.202.164.137,49673,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,9.86
43.201.49.137,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,9.85
52.79.229.156,26159,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.84
52.79.80.227,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.83
43.200.164.74,19999,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.83
13.124.84.93,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,9.81
3.36.44.26,49670,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.81
13.124.153.247,27017,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.78
43.203.226.238,13579,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,9.74
54.180.137.55,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,9.73
13.124.84.93,29090,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.73
13.124.84.93,28017,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.73
13.209.99.217,49158,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,9.71
3.34.198.153,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.71
43.203.221.104,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.68
15.165.10.82,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.67
52.79.229.156,20880,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.67
43.200.164.74,13666,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.67
3.36.44.26,12300,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.67
54.180.137.55,20332,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.65
13.124.153.247,48595,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,9.63
43.201.86.93,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.63
43.203.226.238,15000,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.63
54.180.245.21,19150,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.63
13.125.169.28,16923,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.61
52.79.121.250,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.61
3.37.46.39,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.59
3.39.117.219,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.59
3.36.122.226,40001,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.57
43.203.114.196,49163,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,9.57
54.180.137.55,49665,TRUE,ICN,亚太地区,KR,韩国,首尔,100 ms,9.55
3.34.27.47,29999,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,9.55
3.36.44.26,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.54
43.202.164.137,12300,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,9.54
13.124.153.247,34599,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.54
52.79.80.227,49666,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.53
43.203.102.226,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.53
52.79.174.108,32414,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.53
43.202.45.221,34567,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.52
43.201.49.137,14430,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.52
3.34.198.153,18790,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.52
3.34.27.47,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.51
3.36.44.26,18790,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.51
3.39.117.219,18086,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.50
3.36.127.156,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.49
43.202.164.137,27015,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.49
52.79.207.93,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.49
3.36.122.226,16992,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.48
3.36.130.63,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,9.47
43.201.59.193,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.47
43.201.62.108,21446,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.46
3.37.46.39,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.46
15.164.238.229,33890,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.45
3.34.126.26,19150,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.45
3.34.198.153,28080,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.41
3.34.27.47,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.41
15.165.10.82,11228,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.40
54.180.108.160,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.39
43.203.102.226,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.38
3.34.205.157,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.37
54.180.245.21,29015,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.37
3.38.176.64,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.35
54.180.108.160,49159,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,9.34
43.200.164.74,12345,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.34
15.164.238.229,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,9.34
3.38.181.156,19999,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,9.33
3.34.198.153,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,9.33
3.34.198.153,20035,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.31
43.200.164.74,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.30
3.35.51.140,19888,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.30
43.202.164.137,49156,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,9.30
3.36.122.226,14147,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.30
43.200.6.124,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.29
13.124.153.247,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,9.29
43.200.6.124,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.28
52.79.80.227,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,9.28
15.165.10.82,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.28
54.180.245.21,15000,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,9.26
3.36.130.63,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,9.25
43.202.45.221,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.25
43.202.45.221,19888,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,9.25
43.201.59.193,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.25
43.203.221.104,15000,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.24
52.78.42.159,53413,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.24
15.164.238.229,42498,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.22
54.180.108.160,55553,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.21
43.201.59.193,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.21
52.79.121.250,16923,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.21
43.202.164.137,32524,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,9.20
3.38.176.64,11001,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.20
43.200.6.124,19150,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.19
13.125.97.50,55442,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.19
3.34.198.185,12000,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.19
3.34.27.47,50050,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,9.18
43.203.102.226,50100,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,9.18
3.38.181.156,56865,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.18
43.203.114.196,20903,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.18
3.38.181.156,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,9.18
54.180.137.55,14151,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.17
3.34.27.47,32771,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.16
3.34.205.157,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.16
15.164.238.229,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.16
15.165.10.82,16923,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.15
54.180.108.160,28017,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.15
15.164.238.229,26214,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.14
3.38.174.91,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.13
3.34.198.185,37215,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.13
43.201.86.93,50070,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.12
3.37.46.39,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.12
3.35.51.140,15000,TRUE,ICN,亚太地区,KR,韩国,首尔,109 ms,9.11
43.200.164.74,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,9.10
3.36.130.63,49674,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.10
13.125.97.50,28080,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.09
3.34.205.157,25010,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.08
43.201.59.193,49151,TRUE,ICN,亚太地区,KR,韩国,首尔,102 ms,9.08
52.79.229.156,49664,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.06
13.124.84.93,18790,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,9.04
43.201.49.137,14534,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.04
43.203.226.238,12345,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.04
3.34.198.153,12000,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.04
3.36.44.26,32400,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,9.03
43.201.59.193,27017,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.02
3.34.198.153,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.02
3.36.122.226,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,9.02
3.36.130.63,18264,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.01
13.125.97.50,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,9.01
43.202.114.221,44818,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,9.01
3.39.117.219,20332,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,9.01
3.34.205.157,12300,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,9.01
3.34.27.47,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,9.00
52.79.80.227,18246,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,9.00
43.203.114.196,49671,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,9.00
43.202.164.137,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,8.99
43.203.102.226,17000,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.98
43.203.226.238,32400,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,8.98
15.164.234.119,27384,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.98
52.78.42.159,16000,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,8.98
13.124.153.247,17000,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,8.96
43.201.86.93,16923,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,8.96
3.35.51.140,22828,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.95
3.35.3.202,18264,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,8.95
13.125.224.248,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,8.94
43.203.221.104,14000,TRUE,ICN,亚太地区,KR,韩国,首尔,99 ms,8.92
54.180.137.55,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.92
13.125.97.50,32771,TRUE,ICN,亚太地区,KR,韩国,首尔,105 ms,8.91
3.34.198.185,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.91
3.36.127.156,50111,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,8.91
3.36.44.26,16923,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,8.90
43.200.164.74,50060,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,8.89
13.124.153.247,23802,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.88
13.125.97.50,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.88
52.78.247.14,49154,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,8.88
54.180.245.21,52869,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,8.88
52.79.229.156,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,8.87
3.38.174.91,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.85
13.209.99.217,18246,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,8.80
3.38.174.91,49151,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,8.80
3.34.198.153,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.79
52.79.174.108,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,8.77
3.38.181.156,20005,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.77
43.203.114.196,14265,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,8.75
43.201.62.108,22335,TRUE,ICN,亚太地区,KR,韩国,首尔,99 ms,8.71
13.125.169.28,11001,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.68
43.203.114.196,28080,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,8.64
54.180.137.55,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,8.64
52.79.229.156,49670,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,8.64
15.164.238.229,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,8.64
43.201.86.93,33936,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,8.63
13.125.224.248,18790,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,8.62
43.203.221.104,50075,TRUE,ICN,亚太地区,KR,韩国,首尔,106 ms,8.60
3.34.198.153,24652,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,8.59
15.165.10.82,14000,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,8.57
54.180.137.55,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,8.57
43.203.221.104,18264,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,8.56
43.203.226.238,34599,TRUE,ICN,亚太地区,KR,韩国,首尔,103 ms,8.56
52.78.247.14,13156,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,8.54
43.202.45.221,55442,TRUE,ICN,亚太地区,KR,韩国,首尔,104 ms,8.52
43.202.164.137,29015,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,8.51
3.39.117.219,18246,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,8.47
13.124.153.247,22222,TRUE,ICN,亚太地区,KR,韩国,首尔,104 ms,8.41
13.125.169.28,34567,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,8.39
43.203.114.196,17000,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,8.34
3.39.117.219,27015,TRUE,ICN,亚太地区,KR,韩国,首尔,99 ms,8.34
13.125.169.28,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,8.32
3.34.198.185,29999,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,8.29
52.79.174.108,11001,TRUE,ICN,亚太地区,KR,韩国,首尔,100 ms,8.26
52.79.207.93,14000,TRUE,ICN,亚太地区,KR,韩国,首尔,104 ms,8.20
43.203.221.104,14443,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,8.14
52.79.80.227,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,8.13
15.164.238.229,27015,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,8.13
52.79.121.250,55991,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,8.06

