IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.153.80,2096,true,AMS,Europe,Amsterdam,300 ms,3762 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,255 ms,3685 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,306 ms,3657 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,265 ms,2930 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,256 ms,2815 kB/s
89.168.112.118,8443,true,FRA,Europe,Frankfurt,309 ms,2770 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,311 ms,2668 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,270 ms,2565 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,306 ms,2233 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,314 ms,1459 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,257 ms,1215 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,266 ms,342 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,306 ms,205 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,302 ms,176 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,261 ms,140 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,387 ms,20 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,248 ms,0 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,264 ms,0 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,274 ms,0 kB/s
150.230.34.116,443,true,SJC,North America,San Jose,198 ms,0 kB/s
140.238.88.47,443,true,LHR,Europe,London,251 ms,0 kB/s
